Date,Time,Software,Action,Version,ID,Denial Message
not_provided,11:47:46,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:47:47,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:48:10,(ARCGIS),UNSUPPORTED:,"Tracking",smoodley@SGH227R9P2,License server system does not support this feature. ,
not_provided,11:48:48,(ARCGIS),IN:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:48:48,(ARCGIS),IN:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:48:56,(ARCGIS),IN:,"ARC/INFO",mpatel1@SGH227R9P6,
not_provided,11:48:56,(ARCGIS),OUT:,"VBA",mpatel1@SGH227R9P6,
not_provided,11:49:25,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:49:25,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:49:27,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:50:27,(ARCGIS),IN:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:50:27,(ARCGIS),IN:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:50:56,(ARCGIS),IN:,"VBA",mpatel1@SGH227R9P6,
not_provided,11:50:56,(ARCGIS),OUT:,"ARC/INFO",mpatel1@SGH227R9P6,
not_provided,11:52:23,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:52:24,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:52:25,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:52:56,(ARCGIS),IN:,"ARC/INFO",mpatel1@SGH227R9P6,
not_provided,11:52:56,(ARCGIS),OUT:,"VBA",mpatel1@SGH227R9P6,
